OBJECTID,CTYUA21CD,CTYUA21NM,CTYUA21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,{EEFB42E0-9979-4303-9917-1D3364982408},70995.7229330668,93717029.9070697
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,{B8A77CFA-17EF-4FE7-92A5-68D9533C10D4},44481.4413849518,53881562.628025
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,{486A45E7-43F9-4E0A-98FD-DA1E176F8B1D},96704.0315253802,245069509.42357
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.556911,{075F3C25-FC99-4B02-8702-3DDFA5CDE250},123408.788095676,204932952.708987
5,E06000005,Darlington, ,428029,515648,-1.56835,54.535339,{5ABD4616-AD3F-492E-92D2-A282AC3B937B},107203.152334417,197477768.128264
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,{0D7E328B-E1D2-429E-8A17-399A42602C48},77770.9338001437,79084032.6157127
7,E06000007,Warrington, ,362744,388456,-2.5616701,53.391628,{BDDEB809-11BE-47E7-9D1A-BCDD0BF318E0},114690.686845761,180627982.923395
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4635999,53.700802,{51CA7A3E-94C1-45C7-972D-8DEDB1DF86F2},65284.9523177377,137022079.422086
9,E06000009,Blackpool, ,332819,436635,-3.0219901,53.82164,{2CC3B7F0-A3F0-494A-B7F9-6200D5215797},34483.4799655354,34870886.4500427
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382001,53.769199,{78C7161F-AF5A-4C9F-A73A-1CA88F2C4E6D},64681.104078276,71583611.1153285
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66194999,53.881119,{83A83FCC-81E9-44B5-A7FB-236A5995E452},504081.639206161,2404771586.81277
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,{EEB1C788-D7EA-4C5F-8D25-38FD22FAB5C3},93248.4865198867,192622955.911922
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407002,53.58643,{71B6CE2A-112D-4D63-877B-CC7206F7A66A},244547.837491271,846540130.358074
